Advice,SetGoals,PayFullCC,Own,agecat,region,ABSORBSHOCK
Completely,Disagree,Always,Disagree,62to69,W,Certain
NA,StronglyAgree,Always,Neutral,18to24,South,Certain
Well,Agree,Often,Neutral,62to69,South,Certain
Somewhat,Agree,Seldom,Neutral,25to34,South,Certain
Completely,Agree,Seldom,Disagree,45to54,NE,Certain
Somewhat,Neither,NAorNever,Neutral,25to34,MW,CouldNot
Well,Neither,Often,Neutral,62to69,W,Certain
Well,Neither,Always,Neutral,75up,MW,Certain
Somewhat,Disagree,NAorNever,Neutral,62to69,W,Probably
Somewhat,Agree,NAorNever,Agree,45to54,W,Certain
Well,Neither,NAorNever,Agree,25to34,W,CouldNot
Well,Agree,Always,Agree,55to61,MW,Certain
Well,Agree,Always,Neutral,25to34,MW,Probably
Well,Agree,NAorNever,Disagree,45to54,W,DontKnow
Somewhat,Agree,Always,Agree,62to69,NE,Probably
Well,Agree,Sometimes,Neutral,70to74,MW,Certain
Well,Agree,Always,Disagree,35to44,W,Certain
Completely,StronglyAgree,Always,Agree,55to61,NE,Certain
Completely,Neither,Often,Neutral,45to54,South,Certain
Well,Agree,Seldom,Neutral,25to34,MW,CouldNot
Completely,Agree,NAorNever,Agree,62to69,South,Certain
Well,Agree,Always,Agree,62to69,NE,Certain
Well,Neither,Always,Disagree,62to69,South,Certain
Well,Agree,Often,Neutral,35to44,NE,Certain
Well,Agree,Often,Disagree,35to44,NE,Certain
Well,Agree,Sometimes,Disagree,45to54,NE,ProbablyNot
Well,Agree,Always,Agree,75up,MW,Certain
Somewhat,Agree,NAorNever,NoWay,55to61,South,Certain
Somewhat,Agree,Always,Disagree,62to69,South,Certain
Somewhat,Neither,Sometimes,Agree,62to69,South,Certain
Completely,StronglyAgree,Always,Agree,35to44,South,Certain
Little,Agree,Often,Neutral,62to69,W,Probably
Somewhat,Neither,Always,Neutral,35to44,NE,Certain
Well,StronglyAgree,Always,Disagree,35to44,South,Certain
Completely,StronglyAgree,Always,Disagree,62to69,South,Certain
Somewhat,Agree,Often,Neutral,25to34,South,Certain
Somewhat,StronglyAgree,Seldom,Neutral,25to34,South,CouldNot
Well,Agree,Sometimes,Neutral,45to54,South,Certain
Little,Neither,Always,Neutral,62to69,South,DontKnow
Well,Agree,Always,Agree,75up,MW,Certain
Well,StronglyAgree,Always,Disagree,35to44,South,Certain
Well,Agree,Always,Agree,70to74,South,Certain
Well,StronglyAgree,Often,Disagree,55to61,NE,Certain
Well,Agree,Often,Disagree,25to34,MW,Certain
Little,Agree,Always,Neutral,62to69,South,Certain
Completely,Agree,Always,Absolutely,35to44,W,ProbablyNot
Well,Agree,Always,Neutral,75up,NE,Certain
Completely,StronglyAgree,Always,Disagree,75up,W,Certain
Somewhat,Agree,Always,NoWay,62to69,MW,Certain
Completely,StronglyAgree,Always,Disagree,35to44,South,Certain
Well,Disagree,Always,Disagree,70to74,South,Certain
Well,Agree,Always,Disagree,25to34,MW,Certain
Somewhat,Neither,Seldom,Neutral,55to61,South,Probably
Completely,StronglyAgree,Always,Agree,70to74,MW,Certain
Little,Agree,Always,Agree,45to54,South,Probably
Well,StronglyAgree,Always,Agree,75up,NE,Certain
Completely,Neither,Often,Disagree,62to69,South,Certain
Somewhat,StronglyDisagree,NAorNever,NoWay,45to54,NE,ProbablyNot
Not,Agree,Always,Agree,35to44,South,Certain
Well,StronglyAgree,Sometimes,Neutral,25to34,W,DontKnow
Little,Neither,NAorNever,Neutral,45to54,NE,ProbablyNot
Somewhat,Agree,Always,Agree,62to69,W,Certain
Well,Agree,Often,Neutral,62to69,MW,Certain
Completely,StronglyAgree,Often,Neutral,55to61,NE,Certain
Completely,Agree,Always,Disagree,62to69,South,CouldNot
Well,Agree,Always,Neutral,45to54,W,Certain
Somewhat,Agree,Seldom,Disagree,55to61,MW,Certain
Well,Agree,Often,Agree,45to54,South,Certain
Somewhat,Agree,NAorNever,Neutral,62to69,W,CouldNot
Somewhat,Agree,Always,Disagree,25to34,South,Certain
Somewhat,Agree,NAorNever,Agree,25to34,South,CouldNot
Well,StronglyAgree,NAorNever,Disagree,18to24,MW,ProbablyNot
Well,Neither,Always,Disagree,70to74,South,Certain
Somewhat,StronglyAgree,Always,Agree,25to34,W,Certain
Well,Agree,Always,Disagree,70to74,NE,Certain
Completely,StronglyAgree,Always,Disagree,18to24,South,Certain
Well,Agree,Seldom,Neutral,55to61,NE,Probably
Completely,Agree,Always,Agree,75up,W,Certain
Completely,Agree,Always,Disagree,45to54,W,Certain
Well,StronglyAgree,Always,Absolutely,75up,South,Certain
Well,StronglyAgree,Always,Agree,25to34,W,Certain
Little,Agree,NAorNever,Disagree,18to24,MW,CouldNot
Completely,StronglyAgree,NAorNever,Neutral,45to54,South,Certain
Somewhat,Neither,Often,Neutral,62to69,South,ProbablyNot
Well,StronglyAgree,Always,Agree,75up,NE,Certain
Completely,StronglyAgree,Always,Agree,18to24,NE,Certain
Not,Neither,Often,Agree,62to69,W,Certain
Well,Agree,Sometimes,Neutral,70to74,NE,Certain
Well,Agree,Always,Neutral,45to54,MW,Certain
Somewhat,Agree,Always,Neutral,70to74,W,Certain
Completely,Agree,NAorNever,Neutral,70to74,MW,Probably
Completely,StronglyAgree,Often,Agree,25to34,South,Certain
Somewhat,Neither,Sometimes,Disagree,75up,South,Probably
Well,Disagree,Always,Disagree,25to34,NE,Certain
Somewhat,Neither,Sometimes,Neutral,18to24,MW,ProbablyNot
Little,Neither,Often,Agree,45to54,MW,DontKnow
Completely,StronglyAgree,Sometimes,Absolutely,35to44,NE,ProbablyNot
Somewhat,Agree,Always,Disagree,70to74,South,Certain
Well,Neither,Sometimes,Disagree,45to54,NE,Certain
Completely,Agree,Always,NoWay,55to61,South,Certain
Well,Neither,Always,Neutral,75up,South,Certain
Completely,Agree,Always,Disagree,25to34,NE,Certain
Well,Agree,Always,Disagree,62to69,W,Certain
Well,Neither,NAorNever,Neutral,75up,NE,Certain
Not,Agree,NAorNever,Agree,18to24,South,CouldNot
Completely,StronglyAgree,Always,Neutral,70to74,W,Certain
Somewhat,Neither,NAorNever,Neutral,62to69,W,CouldNot
Completely,StronglyAgree,Always,Agree,75up,MW,Certain
Not,StronglyDisagree,NAorNever,Neutral,35to44,W,CouldNot
Somewhat,Neither,Seldom,Agree,18to24,MW,Certain
Completely,StronglyAgree,Always,Neutral,35to44,MW,Certain
Somewhat,Agree,Sometimes,Agree,70to74,South,Certain
Well,Neither,Always,NoWay,55to61,MW,Probably
Well,Disagree,Always,Absolutely,45to54,MW,Certain
Completely,Neither,Always,Neutral,75up,South,Probably
Well,Agree,Seldom,NoWay,35to44,W,Probably
Somewhat,Neither,Always,Disagree,75up,South,Certain
Somewhat,Agree,Always,Neutral,70to74,South,Probably
Somewhat,Neither,Seldom,Agree,62to69,South,ProbablyNot
Completely,Agree,Often,Neutral,18to24,W,Certain
Somewhat,Disagree,Sometimes,Agree,70to74,MW,CouldNot
Completely,Agree,NAorNever,Absolutely,70to74,NE,Certain
Well,Disagree,Often,Disagree,45to54,South,Certain
Completely,Agree,Always,NoWay,62to69,MW,Certain
Not,StronglyDisagree,NAorNever,Absolutely,25to34,W,DontKnow
Completely,Neither,Always,Disagree,62to69,South,Certain
Somewhat,Disagree,NAorNever,Neutral,55to61,NE,CouldNot
Well,Agree,Always,Neutral,35to44,MW,Certain
Somewhat,StronglyAgree,Always,Absolutely,55to61,W,Probably
Well,Agree,NAorNever,Disagree,45to54,South,CouldNot
Somewhat,Neither,Often,Neutral,55to61,W,Probably
Completely,Agree,Always,Agree,75up,South,Certain
Completely,StronglyAgree,NAorNever,Absolutely,45to54,South,Probably
Well,Neither,Always,Absolutely,70to74,W,Certain
Not,Disagree,Seldom,NoWay,55to61,NE,DontKnow
Somewhat,Neither,Sometimes,Neutral,75up,W,Probably
Somewhat,Neither,Sometimes,Neutral,75up,South,Certain
Somewhat,Neither,Often,Agree,55to61,South,Certain
Well,Agree,Seldom,Neutral,25to34,South,CouldNot
Well,Neither,Always,Disagree,75up,MW,Certain
Somewhat,Neither,NAorNever,Neutral,55to61,NE,Probably
Somewhat,Neither,Seldom,Neutral,35to44,South,ProbablyNot
Completely,StronglyAgree,Seldom,NoWay,35to44,South,Certain
Well,Neither,Always,Neutral,75up,W,Certain
Well,Agree,Always,Absolutely,75up,MW,Certain
Well,Neither,Often,Agree,25to34,South,Certain
Well,Agree,Often,Agree,45to54,South,CouldNot
Well,Agree,Always,Neutral,62to69,South,Certain
Somewhat,Agree,NAorNever,Agree,25to34,MW,CouldNot
Well,StronglyAgree,Always,NA,25to34,MW,DontKnow
Completely,StronglyAgree,Always,Disagree,25to34,W,Certain
Somewhat,Agree,Seldom,Neutral,18to24,South,CouldNot
Well,StronglyAgree,Always,Neutral,75up,W,Probably
Completely,StronglyAgree,Always,Disagree,35to44,South,Certain
Well,Agree,NAorNever,Agree,18to24,MW,ProbablyNot
Little,StronglyAgree,Often,Neutral,35to44,W,Probably
Little,Neither,Often,Agree,45to54,MW,Certain
Little,Neither,Sometimes,Neutral,70to74,NE,Certain
Somewhat,Agree,Always,NA,70to74,MW,Certain
Completely,Agree,Often,Disagree,45to54,South,Probably
Somewhat,StronglyAgree,Often,NoWay,55to61,W,Certain
Somewhat,Neither,Always,NoWay,70to74,W,Certain
Well,Neither,Always,Neutral,70to74,MW,Certain
Somewhat,Neither,Sometimes,Neutral,55to61,MW,CouldNot
Well,Agree,Seldom,Neutral,45to54,MW,Certain
Well,StronglyAgree,Often,NoWay,45to54,W,Probably
Completely,StronglyAgree,Seldom,NA,25to34,W,CouldNot
Completely,Agree,Sometimes,Neutral,55to61,South,Certain
Completely,Agree,Seldom,Neutral,45to54,NE,Certain
Well,Neither,Always,Agree,18to24,MW,Certain
Somewhat,Agree,Seldom,Neutral,45to54,W,Probably
Completely,StronglyAgree,Always,Agree,70to74,W,Certain
Completely,StronglyAgree,Always,Absolutely,25to34,W,Certain
Well,Agree,Seldom,Agree,25to34,South,ProbablyNot
Completely,StronglyAgree,Always,Agree,18to24,South,Probably
Completely,StronglyAgree,Often,NoWay,25to34,South,Probably
Completely,Disagree,Always,Neutral,45to54,W,Certain
Little,Neither,NAorNever,Disagree,45to54,MW,CouldNot
Little,Neither,NAorNever,NoWay,35to44,South,CouldNot
Well,Agree,Always,Agree,55to61,NE,Certain
Somewhat,Disagree,Seldom,Absolutely,25to34,NE,Certain
Somewhat,Agree,Sometimes,Agree,55to61,W,Certain
Somewhat,Agree,Always,Agree,75up,W,Certain
Somewhat,StronglyAgree,Sometimes,Disagree,70to74,South,DontKnow
Somewhat,StronglyAgree,Always,Absolutely,35to44,NE,CouldNot
Completely,Agree,Sometimes,Disagree,25to34,MW,Probably
Well,Agree,NAorNever,Neutral,18to24,W,DontKnow
Well,Agree,NAorNever,NA,55to61,MW,CouldNot
Somewhat,Neither,Always,Neutral,18to24,W,DontKnow
Little,Disagree,NAorNever,Disagree,25to34,South,Certain
Completely,Neither,Always,Neutral,25to34,MW,Certain
Somewhat,Agree,Always,Disagree,18to24,MW,Certain
Somewhat,Neither,Always,Neutral,75up,NE,Certain
Somewhat,Agree,Sometimes,Agree,18to24,NE,Certain
Well,Neither,Often,Disagree,55to61,MW,Probably
Completely,StronglyAgree,NAorNever,Agree,55to61,South,Certain
Well,Neither,Always,Disagree,45to54,MW,Certain
Somewhat,Agree,Often,Neutral,25to34,MW,Certain
Little,Neither,Often,Agree,25to34,W,Certain
Well,Agree,NAorNever,NoWay,25to34,South,Certain
Somewhat,Neither,Sometimes,Neutral,25to34,South,Probably
Completely,StronglyAgree,NAorNever,Agree,18to24,MW,Certain
Somewhat,Agree,NAorNever,Agree,45to54,W,CouldNot
Somewhat,Agree,Always,Agree,18to24,South,Probably
Somewhat,Agree,Sometimes,Agree,45to54,NE,Certain
Somewhat,Neither,Sometimes,Neutral,35to44,MW,CouldNot
Somewhat,Agree,Sometimes,Disagree,45to54,MW,Probably
Somewhat,Neither,Sometimes,Agree,18to24,MW,Probably
Completely,Agree,Always,NoWay,45to54,NE,Certain
Well,StronglyAgree,Often,Neutral,55to61,South,Certain
Well,Agree,Always,Disagree,45to54,MW,Certain
Completely,Agree,Seldom,Agree,35to44,South,Certain
Completely,Agree,Always,Neutral,70to74,W,Certain
Completely,Agree,Always,Absolutely,45to54,MW,Certain
Somewhat,Neither,Sometimes,Neutral,45to54,MW,Certain
Completely,StronglyAgree,Always,Agree,25to34,W,Certain
Somewhat,Disagree,Always,Agree,35to44,MW,Certain
Well,Agree,Always,Agree,75up,W,Certain
Somewhat,Agree,Often,Agree,25to34,South,DontKnow
Well,Agree,Always,Neutral,70to74,W,Certain
Completely,Agree,Always,NoWay,25to34,South,Certain
Not,Disagree,NAorNever,Disagree,45to54,W,CouldNot
Little,StronglyAgree,Always,NoWay,25to34,MW,ProbablyNot
Well,Agree,Always,Neutral,35to44,South,Certain
Well,Agree,Always,Agree,25to34,W,Certain
Little,Agree,Always,Agree,25to34,NE,Certain
Well,Neither,Sometimes,Disagree,62to69,W,Certain
Somewhat,Agree,NAorNever,Agree,25to34,South,Certain
Well,Disagree,NAorNever,Disagree,18to24,South,CouldNot
Little,Disagree,Sometimes,NoWay,35to44,MW,CouldNot
Somewhat,Agree,Seldom,Disagree,35to44,W,Probably
Somewhat,Agree,Often,NoWay,45to54,South,CouldNot
Somewhat,Neither,NAorNever,Neutral,45to54,South,CouldNot
Completely,StronglyAgree,NAorNever,Agree,35to44,W,Probably
Somewhat,Agree,Sometimes,Neutral,25to34,South,ProbablyNot
Well,Agree,Sometimes,NoWay,25to34,MW,CouldNot
Somewhat,Agree,Often,Neutral,35to44,MW,Certain
Little,Agree,Often,Agree,75up,W,Certain
NA,NA,NA,NA,25to34,W,NA
Well,Agree,Often,NA,45to54,W,NA
Well,Agree,Always,Absolutely,75up,W,Certain
Well,Agree,Always,Disagree,62to69,South,Certain
Well,Agree,Sometimes,Agree,25to34,South,Certain
Completely,Neither,Always,Neutral,75up,MW,Certain
Well,Agree,Often,NoWay,70to74,MW,Certain
Somewhat,Agree,Often,NoWay,35to44,W,Certain
Somewhat,Agree,Always,NoWay,55to61,W,Probably
Completely,StronglyAgree,Always,Disagree,70to74,W,Certain
Completely,StronglyAgree,Sometimes,Neutral,18to24,MW,ProbablyNot
Completely,Agree,Seldom,Neutral,45to54,South,DontKnow
Well,StronglyAgree,Always,Disagree,62to69,South,Certain
Well,Agree,Sometimes,NoWay,45to54,South,Probably
Somewhat,Neither,Sometimes,Neutral,35to44,South,Certain
Well,Neither,Always,Agree,35to44,South,Certain
Completely,Agree,Always,NoWay,55to61,NE,Certain
Well,Agree,Always,NoWay,62to69,NE,Certain
Somewhat,Agree,Sometimes,Neutral,62to69,MW,Certain
Not,Agree,NAorNever,Disagree,25to34,W,CouldNot
Well,Agree,Always,Neutral,45to54,W,Certain
Well,Neither,Always,Agree,55to61,South,Certain
Somewhat,StronglyAgree,Often,Absolutely,35to44,NE,Probably
Well,Agree,Often,Absolutely,25to34,NE,ProbablyNot
Somewhat,Neither,Always,Disagree,25to34,MW,Certain
Somewhat,Agree,NAorNever,Neutral,35to44,South,ProbablyNot
Somewhat,StronglyAgree,NAorNever,Neutral,55to61,South,Certain
Little,Disagree,NAorNever,Neutral,25to34,W,CouldNot
Somewhat,StronglyAgree,NAorNever,Disagree,62to69,NE,DontKnow
Little,Disagree,Sometimes,Disagree,70to74,South,CouldNot
Somewhat,Neither,NAorNever,Neutral,62to69,South,CouldNot
Little,Neither,NAorNever,Neutral,45to54,NE,CouldNot
Somewhat,Agree,Sometimes,Neutral,35to44,South,Certain
Little,Agree,Often,Absolutely,25to34,NE,CouldNot
Completely,StronglyAgree,Often,Disagree,75up,South,Certain
Somewhat,StronglyAgree,Always,NA,25to34,South,ProbablyNot
Little,StronglyAgree,Sometimes,Neutral,35to44,NE,ProbablyNot
Completely,StronglyAgree,Always,Neutral,55to61,MW,Certain
Well,StronglyAgree,Often,Absolutely,45to54,South,DontKnow
Completely,Agree,Always,Neutral,25to34,W,Certain
Somewhat,Neither,Always,Neutral,18to24,South,CouldNot
Completely,Agree,Always,Neutral,25to34,W,Certain
Somewhat,Agree,Always,Disagree,62to69,MW,Probably
Completely,Agree,Always,Agree,25to34,W,Certain
Little,Disagree,NAorNever,Agree,25to34,South,CouldNot
Somewhat,Agree,Always,Neutral,45to54,W,Certain
Not,Neither,Seldom,Agree,25to34,W,ProbablyNot
Completely,Agree,Always,Agree,25to34,NE,Certain
Somewhat,Neither,NAorNever,Disagree,35to44,South,Probably
Somewhat,Neither,Always,Disagree,25to34,W,NA
Somewhat,Neither,Always,NoWay,45to54,W,Certain
Little,Neither,NAorNever,Neutral,25to34,NE,Probably
Somewhat,Neither,NAorNever,Neutral,62to69,NE,CouldNot
Completely,StronglyAgree,Always,Absolutely,45to54,South,Certain
Well,Agree,NAorNever,Neutral,35to44,NE,ProbablyNot
Well,StronglyAgree,NAorNever,Neutral,18to24,MW,Probably
Well,Agree,Always,Agree,62to69,MW,Certain
Little,Agree,Sometimes,Disagree,45to54,NE,ProbablyNot
Completely,Agree,Always,Disagree,25to34,South,Certain
Somewhat,Agree,Always,Agree,35to44,W,Probably
Well,StronglyAgree,Always,Neutral,62to69,W,Certain
Well,Agree,Always,Agree,70to74,W,Certain
Little,StronglyAgree,Always,Agree,25to34,W,CouldNot
Completely,Neither,Always,NoWay,25to34,NE,Certain
Little,StronglyDisagree,Always,Agree,25to34,NE,Certain
Well,Agree,Sometimes,Disagree,25to34,South,Probably
Completely,StronglyAgree,Always,NoWay,25to34,NE,Certain
Completely,StronglyAgree,NAorNever,Disagree,45to54,NE,Certain
Well,Agree,Always,Agree,45to54,NE,Certain
Well,StronglyAgree,Always,Absolutely,25to34,NE,Certain
Completely,StronglyAgree,Always,Agree,70to74,W,Certain
Completely,Disagree,Sometimes,Agree,62to69,South,Certain
Little,StronglyDisagree,Always,Agree,35to44,NE,ProbablyNot
Somewhat,Disagree,Always,Disagree,45to54,NE,Certain
Well,Neither,Always,Neutral,55to61,South,Certain
Completely,StronglyAgree,Always,Disagree,25to34,South,Certain
Somewhat,Agree,Seldom,Neutral,18to24,NE,CouldNot
Completely,StronglyAgree,Always,Neutral,25to34,MW,DontKnow
Completely,Agree,Often,Agree,62to69,South,Certain
Well,Agree,Always,Neutral,18to24,NE,Certain
Well,Neither,Always,NoWay,62to69,W,Certain
Well,Agree,Often,Absolutely,25to34,MW,ProbablyNot
Completely,Agree,Often,Neutral,35to44,South,Certain
Somewhat,StronglyAgree,Sometimes,Neutral,25to34,MW,Certain
Completely,Agree,Always,Agree,55to61,MW,Certain
Completely,Agree,Always,Disagree,45to54,MW,Certain
Completely,Neither,Always,Neutral,25to34,NE,Certain
Somewhat,Disagree,Seldom,Neutral,55to61,MW,CouldNot
Well,Neither,NAorNever,Neutral,25to34,W,CouldNot
Well,Neither,NAorNever,Neutral,35to44,MW,Certain
Well,Agree,Seldom,Disagree,25to34,NE,Certain
Completely,Agree,Always,Agree,25to34,South,Certain
Somewhat,Neither,Often,Neutral,25to34,South,DontKnow
Somewhat,Agree,Seldom,Disagree,25to34,MW,Probably
Somewhat,StronglyAgree,Always,Neutral,70to74,W,Certain
Well,Neither,Sometimes,Disagree,45to54,MW,Certain
Somewhat,Neither,Always,Disagree,18to24,W,ProbablyNot
Somewhat,Agree,NAorNever,Absolutely,25to34,MW,CouldNot
Somewhat,Agree,Always,Agree,45to54,South,Certain
Somewhat,Agree,NAorNever,Neutral,45to54,NE,DontKnow
Somewhat,Neither,NAorNever,Neutral,62to69,W,ProbablyNot
Completely,Agree,Always,Neutral,62to69,MW,Certain
Not,StronglyDisagree,NAorNever,Agree,18to24,MW,CouldNot
Little,Disagree,NAorNever,NoWay,45to54,MW,NA
Well,Neither,Always,Neutral,75up,W,Certain
Well,Agree,Sometimes,NoWay,55to61,South,Certain
Well,Agree,Seldom,Neutral,18to24,MW,CouldNot
Completely,StronglyAgree,Sometimes,Agree,35to44,W,Certain
Little,Agree,NAorNever,Disagree,55to61,South,Certain
Well,Agree,Always,NoWay,62to69,South,Certain
Little,Disagree,Seldom,NoWay,45to54,W,CouldNot
Completely,StronglyAgree,Always,NoWay,55to61,W,Certain
Well,Agree,Often,Agree,70to74,MW,Certain
Well,Neither,Always,Disagree,70to74,MW,Certain
Well,StronglyAgree,Always,Disagree,45to54,MW,Certain
Somewhat,Disagree,NAorNever,Agree,25to34,NE,ProbablyNot
Somewhat,Agree,NAorNever,Neutral,25to34,NE,Probably
Well,Agree,Sometimes,Disagree,62to69,MW,Certain
Well,Agree,Seldom,Disagree,35to44,NE,CouldNot
Well,Agree,Always,Disagree,62to69,South,Certain
Well,Neither,NAorNever,Agree,18to24,W,CouldNot
Little,Disagree,NAorNever,Agree,18to24,MW,ProbablyNot
Well,Agree,Always,Disagree,62to69,South,Certain
Somewhat,Agree,Often,Disagree,62to69,NE,Certain
Little,Agree,Often,Neutral,45to54,South,Certain
Somewhat,Neither,Always,Neutral,45to54,NE,Certain
Somewhat,StronglyAgree,Always,Neutral,45to54,W,CouldNot
Somewhat,Neither,Sometimes,Neutral,35to44,MW,DontKnow
Completely,StronglyAgree,Always,Neutral,18to24,MW,Certain
Well,Agree,Always,Agree,25to34,NE,Certain
Completely,StronglyAgree,NAorNever,Neutral,45to54,South,Certain
Well,StronglyAgree,Always,Agree,35to44,NE,CouldNot
Somewhat,Neither,Often,Agree,25to34,MW,Probably
Well,Agree,Often,Neutral,25to34,South,Probably
Well,Agree,Always,Agree,45to54,South,Certain
Completely,Agree,Always,Disagree,18to24,NE,ProbablyNot
Somewhat,Agree,NAorNever,Neutral,25to34,W,NA
Well,Agree,NAorNever,Agree,25to34,MW,Probably
Not,Neither,NAorNever,Agree,62to69,NE,CouldNot
Not,StronglyDisagree,Always,NoWay,62to69,South,Certain
Somewhat,Agree,NAorNever,Agree,45to54,MW,Probably
Little,Agree,Sometimes,Absolutely,45to54,South,Probably
Well,Disagree,Always,Disagree,55to61,W,Certain
Not,Neither,NAorNever,Neutral,25to34,NE,DontKnow
Somewhat,Agree,Seldom,Agree,25to34,MW,Certain
Somewhat,Agree,NAorNever,Agree,35to44,MW,Certain
Well,Neither,Sometimes,Agree,35to44,South,ProbablyNot
Well,Agree,Sometimes,Absolutely,18to24,South,Probably
Well,Agree,NAorNever,Agree,35to44,South,ProbablyNot
Well,Agree,Often,Neutral,25to34,South,Probably
Somewhat,Agree,Sometimes,Neutral,25to34,NE,Probably
Somewhat,Agree,Always,Agree,25to34,MW,Certain
Completely,StronglyAgree,Always,Neutral,62to69,South,Certain
Not,Neither,Always,Agree,55to61,W,Certain
Little,StronglyAgree,Always,NoWay,25to34,South,CouldNot
Well,Agree,Often,Agree,45to54,MW,ProbablyNot
Well,Agree,Always,Agree,62to69,South,Certain
Little,StronglyAgree,NAorNever,Agree,25to34,South,Probably
Little,Neither,Often,Neutral,25to34,South,Certain
Somewhat,Agree,Often,Neutral,62to69,W,Probably
Well,Agree,NAorNever,Neutral,55to61,MW,Certain
Somewhat,StronglyAgree,Sometimes,Agree,18to24,MW,ProbablyNot
Somewhat,Agree,Seldom,Neutral,35to44,MW,Certain
Somewhat,Agree,Often,Agree,45to54,W,Certain
Completely,Neither,Always,Agree,75up,W,Certain
Well,Neither,Sometimes,Disagree,45to54,NE,ProbablyNot
Somewhat,Agree,Always,Agree,70to74,South,Certain
Not,Disagree,NAorNever,NoWay,18to24,NE,ProbablyNot
Well,StronglyAgree,Always,Agree,25to34,NE,Certain
Somewhat,Agree,Sometimes,Neutral,25to34,South,Certain
Completely,Agree,NAorNever,NoWay,25to34,NE,DontKnow
Somewhat,Neither,NAorNever,Disagree,45to54,South,Probably
Not,StronglyDisagree,NAorNever,Neutral,45to54,W,Probably
Well,Agree,Sometimes,Agree,18to24,W,Certain
Well,Agree,Seldom,Agree,25to34,W,Certain
Somewhat,Agree,Often,Neutral,35to44,W,Certain
Well,Agree,Often,Agree,18to24,MW,CouldNot
Completely,Disagree,Always,Neutral,62to69,NE,Certain
Somewhat,Agree,Always,Neutral,62to69,W,Certain
Well,Agree,Often,Disagree,45to54,W,Certain
Somewhat,Disagree,NAorNever,NoWay,35to44,South,CouldNot
Well,Agree,Sometimes,Agree,18to24,W,CouldNot
Somewhat,Disagree,NAorNever,Neutral,35to44,MW,DontKnow
Well,Agree,Seldom,Neutral,55to61,MW,Certain
Well,Neither,Always,Neutral,62to69,NE,Certain
Completely,Neither,Always,Agree,45to54,NE,Certain
Completely,Agree,Always,NoWay,25to34,South,Certain
Somewhat,Agree,NAorNever,Agree,35to44,NE,Probably
Well,Disagree,NAorNever,Neutral,45to54,South,Probably
Completely,StronglyAgree,NAorNever,Disagree,35to44,W,Certain
Somewhat,Neither,Often,Disagree,55to61,South,Certain
Well,Agree,Sometimes,Agree,25to34,South,Certain
Well,Agree,Sometimes,Agree,45to54,South,Certain
Completely,Neither,Often,NoWay,70to74,W,Certain
Well,Agree,Always,Neutral,75up,South,Certain
Well,StronglyAgree,Always,Neutral,62to69,South,Certain
Well,Agree,Sometimes,Disagree,45to54,South,Certain
Well,Agree,Always,Neutral,62to69,South,Certain
Completely,StronglyAgree,Always,NoWay,25to34,NE,Certain
Somewhat,Agree,Always,Neutral,25to34,MW,Certain
Somewhat,Disagree,Often,Disagree,75up,South,CouldNot
